Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Wins,Draws,Losses,Points,Goal Difference,Position,Home Expected,Away Expected,Side Home Expected,Side Away Expected,Form Home Expected,Form Away Expected,Away Wins,Away Draws,Away Losses,Away Points,Away Goal Difference,Away Position,League Home Goals Avg,League Away Goals Avg,Home Off Performance,Away Off Performance,Side Home Off Performance,Side Away Off Performance,Form Home Off Performance,Form Away Off Performance,Home Def Performance,Away Def Performance,Side Home Def Performance,Side Away Def Performance,Form Home Def Performance,Form Away Def Performance
2021-10-16,14:00,Spezia,Salernitana,2,1,H,0.14285714285714285,0.3333333333333333,1.0,0.05555555555555555,0.0,0.9473684210526316,1.6428571428571428,1.7142857142857144,1.8333333333333335,1.333333333333333,1.2999999999999998,1.4,0.14285714285714285,0.3333333333333333,1.0,0.055555555555555566,0.03846153846153849,0.894736842105263,1.7,1.5,0.7797979797979799,0.41722488038277517,1.111111111111111,0.6666666666666666,0.7797979797979799,0.44475524475524475,1.0566303261955436,0.7243107769423559,1.5777777777777777,1.857142857142857,1.051035920601138,0.7243107769423559
2021-10-16,17:00,Lazio,Inter,3,1,H,0.42857142857142855,0.6666666666666666,0.4,0.44444444444444453,0.5384615384615385,0.3157894736842105,1.6428571428571426,2.4285714285714284,2.458333333333333,2.0833333333333335,1.2999999999999998,2.4999999999999996,0.7142857142857142,0.6666666666666666,0.0,0.777777777777778,0.9615384615384617,0.10526315789473684,1.7,1.5,0.5929411764705883,1.4427128427128426,2.496969696969697,1.7619047619047619,0.5929411764705883,1.4554112554112555,1.2288413341044921,2.465134865134865,1.2962962962962963,1.6928571428571428,1.2574127626759206,2.4805194805194803
2021-10-16,19:45,Milan,Verona,3,2,H,0.8571428571428571,0.3333333333333333,0.0,0.8888888888888892,0.8076923076923077,0.05263157894736842,2.071428571428571,1.4285714285714286,2.333333333333333,1.0,1.8,1.6,0.2857142857142857,0.6666666666666666,0.6000000000000001,0.27777777777777785,0.46153846153846156,0.5263157894736843,1.7,1.5,1.1024844720496894,1.567008547008547,1.8666666666666665,1.2,1.0774844720496894,1.5614141414141414,0.9585858585858587,0.8631313131313132,0.3333333333333333,2.466666666666667,0.9666666666666668,0.8631313131313132
2021-10-17,11:30,Cagliari,Sampdoria,3,1,H,0.0,1.0,0.6666666666666666,0.0,0.11538461538461542,1.0,1.5,1.857142857142857,1.125,1.8333333333333335,1.7,2.0,0.14285714285714285,1.0,0.5,0.15789473684210525,0.3076923076923077,0.7894736842105263,1.7397260273972603,1.4931506849315068,0.5777777777777777,2.901978021978022,0.8166666666666667,1.3333333333333333,0.5873015873015873,2.8835164835164835,0.9792258423837371,1.5708791208791208,1.7121848739495797,4.0,0.9705571117335822,1.5824175824175821
2021-10-17,14:00,Empoli,Atalanta,1,4,A,0.42857142857142855,0.0,0.6666666666666666,0.3157894736842105,0.3076923076923077,0.47368421052631576,1.2857142857142858,1.5714285714285712,1.25,2.083333333333333,1.5,1.7000000000000002,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4210526315789474,0.46153846153846156,0.3684210526315789,1.7397260273972603,1.4931506849315068,0.8761904761904761,1.3746031746031746,0.9383116883116884,1.4444444444444446,0.8761904761904761,1.3826839826839827,1.5142857142857142,1.2103896103896103,1.9991228070175437,0.5757575757575758,1.5365079365079364,1.1853896103896102
2021-10-17,14:00,Genoa,Sassuolo,2,2,D,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.10526315789473684,0.19230769230769235,0.8421052631578947,1.3571428571428572,1.6428571428571428,1.8333333333333335,2.0,1.6,1.4000000000000001,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.21052631578947367,0.3461538461538462,0.6842105263157894,1.7397260273972603,1.4931506849315068,1.0556776556776557,0.71844997108155,1.3555555555555554,1.388888888888889,1.0556776556776557,0.7338345864661655,1.00204228520018,0.831111111111111,1.7142857142857142,1.4666666666666668,1.0295726495726496,0.8438095238095238
2021-10-17,14:00,Udinese,Bologna,1,1,D,0.2857142857142857,0.6666666666666666,0.5,0.2631578947368421,0.3461538461538462,0.5789473684210527,1.6428571428571428,1.6428571428571428,2.291666666666667,1.375,1.6,1.7999999999999998,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4210526315789474,0.3461538461538462,0.42105263157894735,1.7397260273972603,1.4931506849315068,0.5115384615384615,1.1403174603174602,0.875,0.7543859649122808,0.523076923076923,1.1688888888888886,1.3074509803921568,1.434032634032634,1.3030303030303028,1.7272727272727273,1.2889894419306185,1.434032634032634
2021-10-17,17:00,Napoli,Torino,1,0,H,1.0,0.0,0.0,0.9473684210526314,1.0,0.05263157894736842,1.7857142857142858,0.8571428571428572,1.5,0.6666666666666666,1.7,0.8999999999999999,0.2857142857142857,0.6666666666666666,0.5,0.2631578947368421,0.5,0.631578947368421,1.7397260273972603,1.4931506849315068,1.6610272690272692,0.7097435897435898,1.2666666666666666,1.222222222222222,1.669027269027269,0.7097435897435898,0.48484848484848486,0.5066666666666666,0.3333333333333333,1.0,0.4666666666666666,0.5233333333333333
2021-10-17,19:45,Juventus,Roma,1,0,H,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.4210526315789474,0.46153846153846156,0.3157894736842105,1.3571428571428572,1.8571428571428568,1.6666666666666667,2.0,1.5999999999999996,1.6,0.7142857142857142,0.0,0.3333333333333333,0.631578947368421,0.7307692307692308,0.15789473684210525,1.7397260273972603,1.4931506849315068,1.4880952380952384,0.832421740626075,4.333333333333333,1.8201058201058202,1.504761904761905,0.8546439628482971,0.9271728271728271,1.2729411764705882,1.2,1.3636363636363635,0.9271728271728271,1.2729411764705882
2021-10-18,19:45,Venezia,Fiorentina,1,0,H,0.0,0.6666666666666666,0.6666666666666666,0.04999999999999999,0.14814814814814814,0.9473684210526316,1.1428571428571426,1.5714285714285712,1.125,1.5,1.2000000000000002,1.4,0.42857142857142855,0.0,0.5,0.39999999999999997,0.37037037037037035,0.42105263157894735,1.7215189873417722,1.481012658227848,1.0187400318979267,1.0815850815850818,1.0,1.6720779220779218,1.0100713012477718,1.0634032634032635,0.8253968253968255,0.6872380952380952,1.3333333333333333,1.0833333333333333,0.834920634920635,0.6952380952380952
