Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Wins,Draws,Losses,Points,Goal Difference,Position,Home Expected,Away Expected,Side Home Expected,Side Away Expected,Form Home Expected,Form Away Expected,Away Wins,Away Draws,Away Losses,Away Points,Away Goal Difference,Away Position,League Home Goals Avg,League Away Goals Avg,Home Off Performance,Away Off Performance,Side Home Off Performance,Side Away Off Performance,Form Home Off Performance,Form Away Off Performance,Home Def Performance,Away Def Performance,Side Home Def Performance,Side Away Def Performance,Form Home Def Performance,Form Away Def Performance
2013-10-18,Roma,Napoli,2,0,H,1.0,0.0,0.0,0.9999999999999999,1.0,0.0,1.7142857142857144,1.3571428571428572,2.166666666666667,1.333333333333333,1.7,1.2,0.8571428571428571,0.25,0.0,0.8947368421052634,0.8571428571428571,0.05263157894736842,1.6142857142857143,1.3571428571428572,1.4571757710888145,1.0907448107448108,1.9312169312169312,1.8424242424242425,1.4305091044221476,1.144078144078144,0.8,0.55,0.0,0.7999999999999999,0.8,0.55
2013-10-19,Cagliari,Catania,2,1,H,0.125,1.0,0.4,0.22727272727272727,0.35135135135135137,0.6842105263157894,1.3571428571428572,1.1428571428571428,2.0,0.9999999999999999,1.0999999999999999,1.1,0.125,0.5,0.8,0.1363636363636364,0.2702702702702703,0.736842105263158,1.619718309859155,1.3380281690140845,0.7733333333333333,0.7047619047619048,1.3333333333333333,1.0,0.7733333333333333,0.7151515151515152,0.9256178604004692,0.707008547008547,0.8803418803418802,1.7777777777777777,0.911332146114755,0.7008547008547008
2013-10-19,Milan,Udinese,1,0,H,0.25,0.5,0.6000000000000001,0.27272727272727276,0.43243243243243246,0.5789473684210527,1.5,1.5714285714285716,1.8333333333333335,0.8333333333333333,1.4,1.4999999999999998,0.375,0.25,0.6000000000000001,0.3636363636363637,0.4594594594594595,0.3684210526315789,1.619718309859155,1.3380281690140845,1.1566666666666667,0.6119658119658119,1.3,0.4666666666666666,1.1223809523809523,0.5976800976800977,1.2706493506493506,0.8933333333333333,0.6,1.4444444444444444,1.261125541125541,0.8933333333333333
2013-10-20,Atalanta,Lazio,2,1,H,0.375,0.0,0.8,0.31818181818181823,0.40540540540540543,0.631578947368421,1.3571428571428572,1.5,2.0,0.8333333333333335,1.1,1.6,0.375,0.5,0.4,0.40909090909090917,0.4594594594594595,0.3684210526315789,1.6164383561643836,1.3150684931506849,0.9866666666666667,0.872087912087912,1.111111111111111,0.5555555555555555,0.9719298245614034,0.872087912087912,1.1777777777777778,0.7846153846153847,0.26666666666666666,1.9047619047619044,1.1777777777777778,0.7846153846153847
2013-10-20,Fiorentina,Juventus,4,2,H,0.375,0.75,0.2,0.4545454545454546,0.5675675675675675,0.2631578947368421,1.3571428571428572,1.5714285714285714,1.0833333333333335,1.2916666666666665,1.1,1.4,0.75,0.25,0.0,0.7727272727272729,0.6486486486486487,0.10526315789473684,1.6164383561643836,1.3150684931506849,0.6181818181818182,1.0605042016806725,1.2444444444444445,0.9732142857142858,0.6181818181818182,1.0509803921568628,0.6549019607843138,0.881904761904762,1.5555555555555554,0.45,0.6549019607843138,0.8476190476190475
2013-10-20,Genoa,Chievo,2,1,H,0.125,0.5,0.8,0.1363636363636364,0.2972972972972973,0.7894736842105263,1.3571428571428572,1.1428571428571428,1.1666666666666667,1.1666666666666667,1.2999999999999998,0.7,0.125,0.25,1.0,0.09090909090909093,0.21621621621621623,0.8421052631578947,1.6164383561643836,1.3150684931506849,0.64,0.6285714285714286,0.6666666666666666,0.0,0.6338461538461538,0.6285714285714286,0.4945054945054945,1.0961904761904762,1.9090909090909092,1.8888888888888886,0.5048951048951049,1.081453634085213
2013-10-20,Livorno,Sampdoria,1,2,A,0.25,0.5,0.6000000000000001,0.27272727272727276,0.3783783783783784,0.6842105263157894,1.4999999999999998,1.142857142857143,1.3333333333333335,1.1666666666666665,1.4,1.0999999999999996,0.0,0.75,0.8,0.04545454545454545,0.24324324324324326,0.9473684210526316,1.6164383561643836,1.3150684931506849,0.43418803418803414,0.7428571428571429,0.8888888888888888,1.111111111111111,0.43418803418803414,0.6761904761904762,1.0214141414141413,1.2504093567251462,1.0,1.1666666666666667,1.0747474747474748,1.2477777777777779
2013-10-20,Sassuolo,Bologna,2,1,H,0.0,0.5,1.0,0.0,0.0,1.0,1.7857142857142858,2.071428571428571,2.0,2.3333333333333326,1.9,2.1,0.0,0.75,0.8,0.04545454545454545,0.10810810810810811,0.894736842105263,1.6164383561643836,1.3150684931506849,0.96,0.9177922077922078,0.7142857142857143,0.6666666666666666,0.9333333333333332,0.9011255411255412,1.2984615384615386,1.467671497584541,2.2222222222222223,1.8518518518518519,1.2715384615384615,1.483671497584541
2013-10-20,Torino,Inter,3,3,D,0.25,0.75,0.4,0.3181818181818183,0.43243243243243246,0.5789473684210527,1.1428571428571428,1.8571428571428572,0.9166666666666666,2.458333333333333,1.4,1.9000000000000004,0.5,0.5,0.2,0.5454545454545455,0.7027027027027027,0.15789473684210525,1.6164383561643836,1.3150684931506849,1.079298245614035,1.008525149190111,0.9722222222222222,1.7692307692307692,1.0766666666666667,1.008525149190111,1.2757422969187675,0.8876767676767676,1.8541666666666665,0.3333333333333333,1.2090756302521009,0.861010101010101
2013-10-20,Verona,Parma,3,2,H,0.5,0.25,0.4,0.5000000000000001,0.5135135135135136,0.21052631578947367,1.7857142857142856,1.5,1.8333333333333335,0.8333333333333333,2.0,1.5999999999999999,0.25,0.75,0.4,0.3181818181818183,0.40540540540540543,0.5263157894736843,1.6164383561643836,1.3150684931506849,1.4676363636363636,2.2102564102564104,1.5333333333333332,1.222222222222222,1.4836363636363636,2.1833333333333336,0.7899999999999999,1.1933333333333331,0.6,1.4444444444444444,0.7733333333333332,1.1666666666666665
