Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Wins,Draws,Losses,Points,Goal Difference,Position,Home Expected,Away Expected,Side Home Expected,Side Away Expected,Form Home Expected,Form Away Expected,Away Wins,Away Draws,Away Losses,Away Points,Away Goal Difference,Away Position,League Home Goals Avg,League Away Goals Avg,Home Off Performance,Away Off Performance,Side Home Off Performance,Side Away Off Performance,Form Home Off Performance,Form Away Off Performance,Home Def Performance,Away Def Performance,Side Home Def Performance,Side Away Def Performance,Form Home Def Performance,Form Away Def Performance
2016-10-15,Juventus,Udinese,2,1,H,1.0,0.0,0.0,1.0,1.0,0.0,1.9285714285714284,0.7142857142857142,2.3333333333333335,0.5,2.0,0.7000000000000001,0.3333333333333333,0.3333333333333333,0.6,0.3529411764705882,0.2272727272727273,0.7894736842105263,1.5797101449275361,1.0869565217391304,1.4547899159663866,0.8200000000000001,2.1999999999999997,0.3333333333333333,1.4477310924369748,0.8200000000000001,0.8800000000000001,1.1956506651243493,0.6666666666666666,1.5555555555555556,0.8800000000000001,1.362157842157842
2016-10-15,Napoli,Roma,1,3,A,0.6666666666666666,0.6666666666666666,0.0,0.7647058823529411,0.8636363636363636,0.05263157894736842,1.642857142857143,1.5714285714285716,2.5,1.0,1.5,1.2000000000000002,0.6666666666666666,0.3333333333333333,0.19999999999999996,0.7058823529411764,0.8181818181818181,0.15789473684210525,1.5797101449275361,1.0869565217391304,0.79,1.0881203007518798,1.8518518518518519,1.111111111111111,0.79,1.1338345864661654,0.32142857142857145,1.102967032967033,0.8888888888888888,1.3888888888888886,0.3722222222222223,1.077967032967033
2016-10-15,Pescara,Sampdoria,1,1,D,0.16666666666666666,1.0,0.39999999999999997,0.2941176470588235,0.36363636363636365,0.894736842105263,1.2142857142857144,1.2142857142857144,1.25,1.25,1.1,1.2000000000000002,0.3333333333333333,0.3333333333333333,0.6,0.3529411764705882,0.36363636363636365,0.736842105263158,1.5797101449275361,1.0869565217391304,0.28181818181818186,0.6296153846153846,0.625,1.5,0.28181818181818186,0.6268181818181818,1.3912643678160919,1.2819047619047619,1.5,0.9483333333333333,1.4349007314524553,1.2485714285714287
2016-10-16,Chievo,Milan,1,3,A,0.5714285714285714,0.25,0.2,0.6,0.6086956521739131,0.2631578947368421,1.357142857142857,1.2857142857142856,1.5,0.8333333333333334,1.1,1.2,0.5714285714285714,0.25,0.19999999999999996,0.6,0.5652173913043479,0.15789473684210525,1.5694444444444444,1.1111111111111112,1.0870995670995671,1.0242424242424242,1.2444444444444445,0.8888888888888888,1.1307359307359308,1.0396270396270395,0.8785714285714284,0.6538461538461537,0.611111111111111,1.3333333333333333,0.8785714285714284,0.7
2016-10-16,Inter,Cagliari,1,2,A,0.42857142857142855,0.5,0.19999999999999996,0.5,0.5217391304347826,0.3684210526315789,1.5714285714285716,1.3571428571428572,2.1666666666666665,0.8333333333333334,1.6,1.2999999999999998,0.42857142857142855,0.25,0.39999999999999997,0.45,0.391304347826087,0.5263157894736843,1.5694444444444444,1.1111111111111112,1.643888888888889,0.9216826651609262,1.7878787878787878,0.6666666666666666,1.618888888888889,0.9034632034632036,0.6266666666666667,0.9607142857142857,1.0,1.8666666666666665,0.6723809523809524,0.9645604395604396
2016-10-16,Lazio,Bologna,1,1,D,0.5714285714285714,0.25,0.19999999999999996,0.6,0.7391304347826086,0.21052631578947367,1.7142857142857144,1.0714285714285714,2.3333333333333335,0.6666666666666666,1.5,0.8999999999999999,0.42857142857142855,0.25,0.39999999999999997,0.45,0.34782608695652173,0.47368421052631576,1.5694444444444444,1.1111111111111112,1.2246616541353383,0.8652380952380951,1.5333333333333332,0.8888888888888888,1.3911688311688313,0.8652380952380951,0.4242424242424242,0.5954347826086956,0.3333333333333333,2.01010101010101,0.4242424242424242,0.5826470588235294
2016-10-16,Sassuolo,Crotone,2,1,H,0.42857142857142855,0.0,0.6,0.4,0.34782608695652173,0.631578947368421,1.7857142857142856,1.2142857142857144,1.625,0.75,1.9999999999999998,1.2999999999999998,0.0,0.25,1.0,0.0,0.0,1.0,1.5694444444444444,1.1111111111111112,1.8162637362637362,0.6642857142857143,1.5555555555555556,0.625,1.8624175824175822,0.6681318681318681,1.290909090909091,1.5330654000730726,1.0,1.8642857142857143,1.3062937062937061,1.51484593837535
2016-10-17,Palermo,Torino,1,4,A,0.14285714285714285,0.75,0.33333333333333337,0.25000000000000006,0.33333333333333337,0.894736842105263,0.8571428571428571,1.5,0.8333333333333334,1.3333333333333335,0.7000000000000001,1.1999999999999997,0.42857142857142855,0.5,0.16666666666666669,0.5,0.7083333333333333,0.5789473684210527,1.5128205128205128,1.1153846153846154,0.5047619047619047,0.8268743914313534,0.0,0.7777777777777778,0.47142857142857136,0.8307692307692307,0.7736910148674855,0.4898785425101214,1.222222222222222,1.222222222222222,0.7708938120702827,0.527485380116959
2016-10-22,Milan,Juventus,1,0,H,0.7142857142857142,0.25,0.16666666666666666,0.75,0.6666666666666666,0.05263157894736842,1.25,1.75,1.375,1.5,1.3,1.5000000000000004,1.0,0.0,0.0,1.0,1.0,0.0,1.5063291139240507,1.1518987341772151,1.490909090909091,1.262197323373794,1.6357142857142857,1.3095238095238093,1.5396270396270395,1.2477310924369749,0.7012145748987854,0.7600000000000001,1.5,1.0,0.7818181818181819,0.7657142857142858
2016-10-22,Sampdoria,Genoa,2,1,H,0.2857142857142857,0.5,0.5000000000000001,0.35000000000000003,0.375,0.736842105263158,0.8571428571428572,1.2589285714285714,1.0,1.1666666666666665,0.6,0.8999999999999999,0.42857142857142855,0.75,0.0,0.55,0.625,0.42105263157894735,1.5063291139240507,1.1518987341772151,0.47432126696832577,0.26836581709145424,1.0666666666666667,1.3636363636363635,0.47348484848484845,0.255578093306288,1.1037535014005602,0.6618181818181819,0.8888888888888888,1.6666666666666667,1.0875324675324676,0.6618181818181819
